gratis,es,adv
pies,es,n
pie,es,n
lente,es,n
robot,es,n
y,es,conj
absolver,es,v
absorber,es,v
pez,es,n
pez,es,n
libre,es,adj
color,es,n
van,es,v
te,es,p
can,es,n
o,es,conj
o,es,conj
chiapaneco,es,adj
bit,es,n
rape,es,n
os,es,p
perro,es,n
Esperanto,es,n
tesauro,es,n
peso,es,n
centavo,es,n
estar,es,v
ten,es,v
euro,es,n
maquiladora,es,n
fiscal,es,adj
fiscal,es,n
derecho,es,adj
derecho,es,n
gobierno,es,n
mundial,es,adj
global,es,adj
menos,es,adv
menos,es,n
monetario,es,adj
digital,es,adj
radio,es,n
radio,es,n
Cuba,es,n
gas,es,n
standard,es,adj
vi,es,v
paceño,es,adj
amigo,es,n
amar,es,v
paraguas,es,n
general,es,adj
general,es,n
hebrea,es,n
bancario,es,adj
presidente,es,n
hueso,es,n
generar,es,v
panista,es,n
chihuahuense,es,adj
foxista,es,adj
dar,es,v
banana,es,n
tigre,es,n
mental,es,adj
beige,es,adj
red,es,n
diccionario,es,n
sol,es,n
humor,es,n
animal,es,n
el,es,a
el,es,a
vicuña,es,n
lama,es,n
lama,es,v
llama,es,n
llama,es,n
koala,es,n
abandonar,es,v
regular,es,adj
regular,es,v
kiwi,es,n
yanqui,es,n
yanqui,es,adj
estadounidense,es,n
estadounidense,es,adj
gringo,es,n
as,es,n
mundo,es,n
son,es,n
son,es,v
pariente,es,n
iceberg,es,n
hacienda,es,n
anterior,es,adj
chocolate,es,n
tan,es,adv
sombrero,es,n
tamale,es,n
hobby,es,n
mosquito,es,n
civil,es,adj
guacamole,es,n
tortilla,es,n
salsa,es,n
frijoles,es,n
marina,es,n
plaza,es,n
del,es,contr
abuela,es,n
abuelo,es,n
barato,es,adj
bosque,es,n
beso,es,n
ajo,es,n
aceite,es,n
novia,es,n
novio,es,n
amor,es,n
gripe,es,n
grito,es,n
grupo,es,n
voz,es,n
so,es,p
-able,es,s
ver,es,v
granada,es,n
gracias,es,intj
gracias,es,n
gracia,es,n
plata,es,n
burro,es,n
capital,es,n
me,es,p
mariposa,es,n
mariquita,es,n
pizza,es,n
magia,es,n
corrida de toros,es,n
loco,es,adj
loco,es,n
juez,es,n
juzgado,es,n
juramentado,es,n
moro,es,n
moro,es,n
matadero,es,n
matanza,es,n
remontado,es,n
remonta,es,n
tápalo,es,n
sangría,es,n
piñata,es,n
pato,es,n
pata,es,n
pata,es,n
huevo,es,n
huevos,es,n
huevos,es,n
torta,es,n
sale,es,v
saya,es,n
sana,es,adj
español,es,adj
español,es,n
día,es,n
pollo,es,n
gallo,es,n
leche,es,n
leche,es,intj
helado,es,adj
helado,es,n
computadora,es,n
conejo,es,n
teléfono,es,n
luz,es,n
dar a luz,es,v
mapa,es,n
pupitre,es,n
escritorio,es,n
reloj,es,n
rata,es,n
rato,es,n
ratoncito,es,n
rápidamente,es,adv
nada,es,p
nada,es,n
nada,es,v
alas,es,n
hombre de letras,es,n
hombre del mundo,es,n
hombre de guerra,es,n
hombre de negocios,es,n
negociante,es,n
hombre de Dios,es,n
mama,es,n
vocal,es,n
vocal,es,n
vocal,es,adj
vapor,es,n
come,es,v
fórmula química,es,n
mal,es,adj
mal,es,adv
mal,es,n
zas,es,intj
zas,es,n
canal,es,n
conductor,es,n
legal,es,adj
criminal,es,adj
criminal,es,n
actor,es,n
factor,es,n
cable,es,n
funeral,es,n
interior,es,adj
interior,es,n
exterior,es,adj
exterior,es,n
central,es,adj
central,es,n
ideal,es,adj
ideal,es,n
chin,es,n
simple,es,adj
simple,es,n
chance,es,n
cruel,es,adj
parasol,es,n
show,es,n
era,es,v
era,es,n
limo,es,n
base,es,n
collar,es,n
control,es,n
ven,es,v
vero,es,adj
vero,es,adv
vermú,es,n
piano,es,n
crisis,es,n
rumor,es,n
mole,es,adj
mole,es,n
mole,es,n
modem,es,n
bien,es,adv
bien,es,adj
bien,es,n
bien,es,n
et,es,n
ir,es,v
plasma,es,n
house,es,n
hospital,es,n
doctor,es,n
metal,es,n
meter,es,v
pos,es,n
sal,es,n
sal,es,v
barón,es,n
varón,es,n
tanto,es,adj
tanto,es,adv
tanto,es,n
tanto,es,p
san,es,adj
san,es,n
san,es,n
chingón,es,n
ano,es,n
ese,es,adj
ese,es,intj
ese,es,p
pinyin,es,adj
potable,es,adj
peer,es,v
virrey,es,n
manga,es,n
mayor,es,adj
sábado,es,n
homosexual,es,adj
homosexual,es,n
corrigenda,es,n
agora,es,adv
crema,es,n
han,es,v
latino,es,adj
original,es,adj
rifle,es,n
las,es,a
las,es,p
nazi,es,n
nazi,es,adj
ordinal,es,adj
ha,es,v
sea,es,v
cuerpo,es,n
corazón,es,n
sangre,es,n
ni,es,conj
jaguar,es,n
un,es,adj
un,es,a
uno,es,num
uno,es,p
uno,es,v
dame,es,v
Talón de Aquiles,es,n
árbol,es,n
música,es,n
libro,es,n
beta,es,n
gamma,es,n
con,es,conj
conmigo,es,adv
contigo,es,adv
test,es,n
delta,es,n
delta,es,n
zeta,es,n
natural,es,adj
